	id	output	mode	rating
35	816872259.676.28437	and actually again , what are you talking about and what are you banning me for ? diffs .	ilp	5
89	388522044.71835.71835	also , i noticed that you nominated [ bingolotto ( norway ) separately . will you like to make this a double hook ?	greedy	4
263	A1F-AYG-51	um , can someone explain why there ' s a coi tag on this article ? it ' s not evident from the talk page .	retrieval	5
104	205080111.452.452	hi , how can you make wikipedia : these are not original research better ? feel free for me to make improvements . cheers !	retrieval	3
96	31346104.1416.1416	can you take it upon yourself to add names to the category to keep it in sync ? cheers	greedy	5
48	134411570.28213.0	please give me that list so i can save my . . . ! " ?	ilp	5
87	148623328.0.0	what ' s this whole stanborough school test thing and me editing it ? s / me is really confused .	greedy	2
102	186170463.4686.0	can you discuss the article title at talk : narodno osloboditelen front ?	retrieval	5
142	237532255.1118.1118	no problem . but can i test stuff on my own page then ?	retrieval	5
88	617773131.350.137720	so is the ' ' enterprise ' ' a car , o anonymous one ? thought not .	greedy	5
90	69315283.0.0	am i doing ? i have no clue but oh well that s actually the fun of it lol	greedy	5
138	617773131.350.137720	is the ' ' enterprise ' ' a car , o anonymous one ? thought not .	retrieval	5
218	A23-AYG-26	. . . . afterall : your point is ? i must be missing it . what change are you suggesting for the article ?	greedy	5
111	290289648.14248.14248	p . s . elvis presley wrong link - can you fix this ? thanks !	retrieval	4
225	A23-AYG-35	no problem . lareve , could you say on talk : julius tomin what your objection is to this material ? many thanks ,	greedy	5
92	237532255.1118.1118	sorry . can i test stuff on my own page then ?	greedy	5
84	261819785.5286.5286	hay u really how is that not constructiveit ' s loldongs for christs sake ? love , loldongs	greedy	3
19	82682418.86910.86910	really , actually , i see that the text was just posted twice on one page . so what happened ?	ilp	5
171	A1F-AYG-48	are you just aware of the above wikiproject ? please if so , are you really a member ? if not , join !	ilp	4
254	A1F-A23-34	hi joan , per your closing comment , please could you userfy the article for me ? thanks .	retrieval	5
149	109926222.1489.1489	removed . will you explain in your own words why they were removed and what i can do to	retrieval	5
65	46072989.3615.23369	hi , can you revisit peter stumpp and cite the source for you ( s ) you used , especially where the quotes are from ? thanks ,	greedy	4
241	A23-A2U-89	no problem . is that so ?	greedy	5
185	A23-A2U-13	wtf ? i write in spanish . btw , you can see the fritjof capra book the weft of live .	ilp	2
244	A23-A3S-91	no problem . no problem . no problem .	greedy	5
296	AYG-A23-18	no problem . but i think you may have confused my edit with the edit made by . best ,	retrieval	5
8	538717052.445.469	can you possibly direct my request for me to the appropriate avenue ? .	ilp	4
119	82682418.86910.86910	i see that the text was posted twice on one page . what happened ?	retrieval	5
109	846513598.15186.13399	will you stop your whining , and think about solutions instead ? tx .	retrieval	5
141	119658625.0.0	could someone perhaps confirm and state that dar ul - funum was for me ( is ? ) in teheran . de	retrieval	3
293	A3S-A2U-66	said it is an alkali lake . is that really true ? that does seem logical .	retrieval	5
15	46072989.3615.23369	hi , can you revisit peter stumpp and cite the source ( s ) you used around , particularly where the quotes are from ? btw , thanks ,	ilp	5
265	A2U-A3S-97	hi , look at wikipedia talk : notability someone else wrote there . you could resind your nominations ?	retrieval	5
11	290289648.14248.14248	p . s possible elvis presley wrong link for me - can you fix this ?	ilp	5
261	A2U-AYG-76	sorry , can you tell me , where this phrase originally comes from ? thanks a lot	retrieval	5
114	813974017.646.2144	hi update : , but can you work the lighting ( e . g . cleaning up transition borders between subject and bg , agma ) ?	retrieval	5
257	AYG-A2U-17	can you check one more photo for me <unk>: image : cesar franck . jpg ?	retrieval	5
246	AYG-A23-18	btw , i think you may have confused my edit for me with the edit made by . best ,	greedy	4
49	109926222.1489.1489	removed . ok ? can you explain in your own words why they were removed for you and what i can do to	ilp	5
